Year,EducationHistory,FirstGen,GraduationYear,ApproxAge,Masters,PhD,GraduateStudent,STEM,SocialScience,Humanities
55,"Wellesley College, Bachelor's Degree, 1955, Psychology, Sociology, Boston College, JD - Juris Doctor, 1974, Law, Simmons College, Master's Degree, 1957, Social Work",0,1955,89,1,0,0,0,1,0
56,"Wellesley College, Bachelor's Degree, 1956, Psychology, Hofstra Univ, Master's Degree, 1969, Education Studies",0,1956,88,1,0,0,0,1,0
57,"Wellesley College, Bachelor's Degree, 1957, History",0,1957,87,0,0,0,0,1,0
59,"Wellesley College, Bachelor's Degree, 1959, English, Wellesley College, Bachelor's Degree, 1959, English,  Psychology, Univ Texas-Houston, Master's Degree, 1968, English",1,1959,85,1,0,0,0,1,1
60,"Wellesley College, Bachelor's Degree, 1960, Zoology, Pennsylvania State University, PhD - Doctor of Philosophy, 1982, Human Development and Family Studies, Univ North Carolina-Chapel Hil, Master's Degree, 1966, Public Health, Columbia Univ Columbia Coll, Bachelor's Degree, 1962, Nursing",0,1960,84,1,1,0,0,0,1
61,"Wellesley College, Bachelor's Degree, 1961, Mathematics, Economics minor, Northwestern Univ, Master's Degree, 1962, Economics",0,1961,83,1,0,0,1,1,0
62,"Wellesley College, Bachelor's Degree, 1962, Political Science, Georgetown Univ, PhD - Doctor of Philosophy, 1973, Political Science",0,1962,82,0,1,0,0,1,1
62,"Wellesley College, Bachelor's Degree, 1962, Chemistry, Boston Univ, PhD - Doctor of Philosophy, 1974, Philosophy, Massachusetts Inst of Tech, Master's Degree, 1970",0,1962,82,1,1,0,1,0,1
63,"Wellesley College, Bachelor's Degree, 1963, English, Georgetown University, Graduate, 1966, English",1,1963,81,0,0,0,0,0,1
64,"Wellesley College, Bachelor's Degree, 1964, Art History/Studio, Harvard Univ, Master's Degree, 1965, Art History",0,1964,80,1,0,0,0,1,1
64,"Wellesley College, Bachelor's Degree, 1964, Literature, English, Boston Univ, Master's Degree, 1968, Mathematics",0,1964,80,1,0,0,1,0,1
64,"Wellesley College, Bachelor's Degree, 1964, Sociology",0,1964,80,0,0,0,0,1,0
65,"Wellesley College, Bachelor's Degree, 1965, Economics",0,1965,79,0,0,0,0,1,0
66,"Wellesley College, Bachelor's Degree, 1966, Art History, Illinois Inst of Tech, Master's Degree, 1968, City Planning",0,1966,78,1,0,0,0,1,1
66,"Wellesley College, Bachelor's Degree, 1966, Political Science, Boston Univ, JD - Juris Doctor, 1969, Law",0,1966,78,0,0,0,0,1,0
66,"Wellesley College, Bachelor's Degree, 1966, Latin, Harvard Univ, PhD - Doctor of Philosophy, 1971, Classics, Harvard Univ, Master's Degree, 1967, Cheltenham High School, Bachelor's Degree, 1966, Classical Studies",0,1966,78,1,1,0,0,0,1
66,"Wellesley College, Bachelor's Degree, 1966, Political Science, Harvard Univ, MBA - Master of Business Administration, 1978, Marketing, Univ California-Los Angeles, Master's Degree, 1971, Public Administration",0,1966,78,1,0,0,0,1,0
67,"Wellesley College, Bachelor's Degree, 1967, Philosophy, Univ Utah, JD - Juris Doctor, 1981, Law, University Michigan-Ann Arbor, PhD - Doctor of Philosophy, 1974, Philosophy",0,1967,77,0,1,0,0,0,1
68,"Wellesley College, Bachelor's Degree, 1968, Economics, University of North Carolina at Chapel Hill - Kenan-Flagler Business School, PhD, 1997, Strategic Management, The George Washington University - School of Business, MBA, 1980, Finance",0,1968,76,0,1,0,0,1,0
68,"Wellesley College, Bachelor's Degree, 1968, Economics, Vanderbilt University (Tennessee), PhD - Doctor of Philosophy, 1972, Economics",0,1968,76,0,1,0,0,1,1
68,"Wellesley College, Bachelor's Degree, 1968, Mathematics, Harvard Univ, MBA - Master of Business Administration, 1976, Business Administration",0,1968,76,1,0,0,1,0,0
69,"Barnard Coll, Bachelor's Degree, 1969, Spanish, Wellesley College, Bachelor's Degree, 1969, Spanish, University of Hawaii-Manoa, Master's Degree, 1982, Architecture, Pacifica Graduate Institute, Master's Degree, 1998, Psychology, Counseling, CG Jung Institute- Zürich, Graduate, 2015, Analytical Psychology",1,1969,75,1,0,0,0,1,1
69,"Wellesley College, Bachelor's Degree, 1969, Psychology, University of Hawaii-Manoa, Master's Degree, 1973, Psychology, Counseling",1,1969,75,1,0,0,0,1,0
69,"Wellesley College, Bachelor's Degree, 1969, Spanish, CG Jung Institute- Zürich, Graduate, 2015, Analytical Psychology, Pacifica Graduate Institute, Master's Degree, 1998, Psychology, Counseling, University of Hawaii-Manoa, Master's Degree, 1982, Architecture, Barnard Coll, Bachelor's Degree, 1969, Spanish",0,1969,75,1,0,0,0,1,1
69,"Wellesley College, Bachelor's Degree, 1969, History, New York University, MBA - Master of Business Administration, 1973, Real Estate, Princeton Univ, Master's Degree, 1971, Public Policy, Urban Planning",0,1969,75,1,0,0,0,1,0
69,"Wellesley College, Bachelor's Degree, 1969, History, Univ California-Los Angeles, MBA - Master of Business Administration, 1975, Business Administration",0,1969,75,1,0,0,0,1,0
69,"Wellesley College, Bachelor's Degree, 1969, Art History/Studio, Stanford University, PhD - Doctor of Philosophy, 1982, Communications, Simmons College, Master's Degree, 1970, Library Science",0,1969,75,1,1,0,0,1,1
70,"Wellesley College, Bachelor's Degree, 1970, History, Columbia Univ Columbia Coll, Master's Degree, 1971, Journalism",0,1970,74,1,0,0,0,1,0
70,"Wellesley College, Bachelor's Degree, 1970, Psychology",0,1970,74,0,0,0,0,1,0
70,"Wellesley College, Bachelor's Degree, 1970, Mathematics, Saint Michaels Coll, Master's Degree, 1988, Public Administration, University of Vermont, Bachelor's Degree, 1978, Nursing",0,1970,74,1,0,0,1,0,0
71,"Wellesley College, Bachelor's Degree, 1971, Astronomy",0,1971,73,0,0,0,1,0,0
71,"Wellesley College, Bachelor's Degree, 1971, Art History/Studio, Univ Pittsburgh-Pittsburgh, Master's Degree, 1975, Public Administration",0,1971,73,1,0,0,0,1,1
71,"Wellesley College, Bachelor's Degree, 1971, Economics, Harvard Univ, MBA - Master of Business Administration, 1975, Management, Brown Univ, Master's Degree, 1972, Economics",0,1971,73,1,0,0,0,1,0
71,"Wellesley College, Bachelor's Degree, 1971, Philosophy, Boston Univ, MBA - Master of Business Administration, 1985, Psychology, Organizational, Boston College, Master's Degree, 1978, Psychology, Social",0,1971,73,1,0,0,0,1,1
72,"Wellesley College, Bachelor's Degree, 1972, Art History/Studio, Univ California-Berkeley, 1974, Saint Marys College-CA, Undergraduate Certificate, 1991, Education Studies, Chapman Coll, Master's Degree, 2003, Education Administration",1,1972,72,1,0,0,0,1,1
72,"Wellesley College, Bachelor's Degree, 1972, Music, Wellesley College, Bachelor of Arts (B.A.), Music, Univ Wisconsin-Madison, JD - Juris Doctor, 1983, Law, Univ Wisconsin-Madison, Bachelor's Degree, 1974, Education Studies, Music, University of Wisconsin-Madison, Doctor of Law (J.D.), Bachelor of Music Education (B.S.), Law, Music Education",0,1972,72,0,0,0,0,1,1
72,"Wellesley College, Bachelor's Degree, 1972, Art History/Studio, University of Pennsylvania, Ph.D., M.A., 1980, American Civilization, Hathaway Brown School, High School Diploma, University of Delaware, Certification, Museum Studies, University of Delaware, M.A., Winterthur Program in Early American Culture",0,1972,72,0,0,0,0,1,1
72,"Wellesley College, Bachelor's Degree, 1972, University Michigan-Ann Arbor, PhD - Doctor of Philosophy, 1979, Linguistics, University Michigan-Ann Arbor, Bachelor's Degree, 1971, Linguistics",0,1972,72,0,1,0,0,0,1
72,"Wellesley College, Bachelor's Degree, 1972, Economics, Mathematics, Purdue University, PhD - Doctor of Philosophy, 1986, Mathematics, Purdue University, Master's Degree, 1974, Mathematics",0,1972,72,1,1,0,1,1,1
72,"Wellesley College, Bachelor's Degree, 1983, Harvard Univ, JD - Juris Doctor, 1986, Law",0,1972,72,0,0,0,0,0,0
72,"Wellesley College, Bachelor's Degree, 1972, Psychology, Univ California-Irvine, MD - Doctor of Medicine, 1983, Medicine, Stanford University, Master's Degree, 1983, Biological Sciences",0,1972,72,1,0,0,0,1,0
72,"Wellesley College, Bachelor's Degree, 1972, Political Science",0,1972,72,0,0,0,0,1,0
73,"Wellesley College, Bachelor's Degree, 1973, Art History, Italian, Fuller Theological Seminary, PhD - Doctor of Philosophy, 1982, Psychology, Fuller Theological Seminary, Master's Degree, 1977, Theology",1,1973,71,1,1,0,0,1,1
73,"Wellesley College, Bachelor's Degree, 1973, Boston College, Master's Degree, 1974, Education Studies",0,1973,71,1,0,0,0,1,0
73,"Wellesley College, Bachelor's Degree, 1973, English, Northwestern Univ, PhD - Doctor of Philosophy, 1984, Theatre Studies, Univ Chicago, Master's Degree, 1977, English",0,1973,71,1,1,0,0,0,1
73,"Wellesley College, Bachelor's Degree, 1973, Art History/Studio, Smith College, Undergraduate Certificate, 1973",0,1973,71,0,0,0,0,1,1
73,"Wellesley College, Bachelor's Degree, 1973, Psychology, Harvard (Massachusetts), Other, 1979, Psychology, Harvard Univ, Master's Degree, 1974, Psychology",0,1973,71,1,0,0,0,1,0
73,"Wellesley College, Bachelor's Degree, 1973, Art History, Italian, Fuller Theological Seminary, PhD - Doctor of Philosophy, 1982, Psychology, Fuller Theological Seminary, Master's Degree, 1977, Theology",0,1973,71,1,1,0,0,1,1
74,"Wellesley College, Bachelor's Degree, 1974, Comparative Literature, English, Yale University, PhD - Doctor of Philosophy, 1979, Comparative Literature, Yale University, Master's Degree, 1976, Comparative Literature",0,1974,70,1,1,0,0,0,1
74,"Wellesley College, Bachelor's Degree, 1974, Sociology, Emerson College, Master's Degree, 1978, Educational Theater/Performance",0,1974,70,1,0,0,0,1,0
74,"Wellesley College, Bachelor's Degree, 1974, History, Political Science, Harvard Univ, MBA - Master of Business Administration, 1980, Business Administration",0,1974,70,1,0,0,0,1,0
74,"Wellesley College, Bachelor's Degree, 1974, Biological Sciences, Univ Cincinnati, MD - Doctor of Medicine, 1980, Medicine, Johns Hopkins University, Master's Degree, 1976, Physics",0,1974,70,1,0,0,1,0,0
74,"Wellesley College, Bachelor's Degree, 1974, Biological Sciences, Spanish, Cornell Univ, MD - Doctor of Medicine, 1978, Medicine",0,1974,70,0,0,0,0,0,1
74,"Wellesley College, Bachelor's Degree, 1974, Biology, University of Pittsburgh, MD - Doctor of Medicine, 1980, Medicine",0,1974,70,0,0,0,1,0,0
74,"Wellesley College, Bachelor's Degree, 1974, Geology, University of Colorado, Master's Degree, 2005, Architechtural Design, Harvard (Massachusetts), PhD - Doctor of Philosophy, 1983, Geology, Princeton Univ, Master's Degree, 1976, Geology",0,1974,70,1,1,0,0,0,1
75,"Wellesley College, Bachelor's Degree, 1975, Art History/Studio, European Studies, Massachusetts Inst of Tech, Master's Degree, 1981, Architecture",0,1975,69,1,0,0,0,1,1
75,"Wellesley College, Bachelor's Degree, 1975, History, Univ Chicago, MBA - Master of Business Administration, 1982, Finance",0,1975,69,1,0,0,0,1,0
75,"Wellesley College, Bachelor's Degree, 1975, Economics, Stanford University, MBA - Master of Business Administration, 1982, Business Administration",0,1975,69,1,0,0,0,1,0
75,"Wellesley College, Bachelor's Degree, 1975, Art History/Studio, Southern Ill Univ Carbondale, Master's Degree, 1986, Art History/Studio",0,1975,69,1,0,0,0,1,1
75,"Wellesley College, Bachelor's Degree, 1975, Biological Sciences, North Carolina State Univ, Master's Degree, 1982, Forestry",0,1975,69,1,0,0,0,0,0
75,"Wellesley College, Bachelor's Degree, 1975, English, Univ Pennsylvania, PhD - Doctor of Philosophy, 1982, Medieval/Renaissance Studies, Cambridge University, Bachelor's Degree, 1977, Anglo-Saxon Studies",0,1975,69,0,1,0,0,0,1
75,"Wellesley College, Bachelor of Arts (B.A.), 1975, Political Science and Government, History, French, Wellesley College, Bachelor's Degree, 1975, History, Political Science, New York University, JD - Juris Doctor, 1978, Law, Northwestern Univ, Other, Journalism",0,1975,69,0,0,0,0,1,1
